id,month,day,sp,fpn,ifpn,windfpn,temperature,dayaheadwind,dayaheadsolar,intradaysolar,daydemand,rsd(t-2),niv(t-2),indexprice,imbalanceprice
18010101,1,1,1,27243,2742,6163,6.1,10705,0,,26838,26907,468.1917,47.27,55.94
18010102,1,1,2,27778,2736,6139,6.1,10705,0,,27347,26661,23.3739,48.57,55.94
18010103,1,1,3,28066,2747,6085,6.1,10831,0,,27410,26354,38.5262,52.32,62.94
18010104,1,1,4,27509,2747,6073,6.1,10831,0,,26444,26561,167.3801,51.18,31
18010105,1,1,5,26645,2597,6060,6.1,10835,0,,25722,27081,109.8917,46.08,60.81165
18010106,1,1,6,26451,2597,6028,6.1,10835,0,,25363,27258,-143.3171,46.01,65
18010107,1,1,7,25349,2597,5991,6.1,10855,0,,24890,26345,70.7066,39.24,67.85626
18010108,1,1,8,24956,2597,5970,6.1,10855,0,,24027,25866,153.4909,37.6,65.7748
18010109,1,1,9,24830,2388,5944,6.1,10749,0,,23398,25680,383.4818,36.62,64.01503
18010110,1,1,10,24813,2388,5854,6.1,10749,0,,23099,25020,303.5896,35.65,61.42111
18010111,1,1,11,24579,2133,5857,6.1,10530,0,,22917,24272,162.1709,38.28,59.64802
18010112,1,1,12,24369,1909,5805,6.1,10530,0,,22600,23902,34.6499,40.21,65
18010113,1,1,13,24867,2292,5673,6.1,10289,0,,22898,23837,50.9251,44.55,65
18010114,1,1,14,25711,2293,5583,6.1,10289,0,,23089,23827,266.6485,43.72,65
18010115,1,1,15,25961,1238,5534,6.1,9927,0,,22635,24040,564.9156,47.66,65
18010116,1,1,16,26113,1239,5501,6.1,9927,0,,22196,24960,549.9681,49.47,63.91537
18010117,1,1,17,27162,1177,5380,6.1,9522,88,,22795,25341,173.6142,43.89,18.16975
18010118,1,1,18,27764,1177,5245,6.1,9522,176,,23773,24613,24.4313,47.66,21.83881
18010119,1,1,19,28549,2145,5107,6.1,9093,435,,24944,24549,-331.786,43.31,55.94
18010120,1,1,20,29841,2144,4973,6.1,9093,694,,26117,25484,-40.5669,41.53,64.95858
18010121,1,1,21,30935,3035,4811,6.1,8887,1007,,27600,26750,156.876,45.01,62.41571
18010122,1,1,22,31872,3006,4696,6.1,8887,1320,,28716,28014,337.0699,45.04,65
18010123,1,1,23,32153,3270,4453,6.1,8682,1540,,30861,29128,270.3072,53.47,66.02662
18010124,1,1,24,33093,3203,4321,6.1,8682,1759,,31073,30297,584.9339,59.07,68
18010125,1,1,25,33021,3084,4117,6.1,8321,1822,,32010,31145,657.9369,57.29,68
18010126,1,1,26,33068,3026,3975,6.1,8321,1885,,32100,32111,784.0185,58.39,68
18010127,1,1,27,33438,3027,3790,6.1,8191,1740,,32200,32712,530.2497,56.59,69.9
18010128,1,1,28,34299,3032,3749,6.1,8191,1595,,32206,32998,429.5163,58.24,65
18010129,1,1,29,34778,3032,3779,6.1,8111,1309,,32553,33324,562.7834,54.55,36.83533
18010130,1,1,30,35026,2971,3796,6.1,8111,1022,,32847,33469,255.7134,51.25,35.6
18010131,1,1,31,35979,3143,3897,6.1,8186,700,,33534,33385,-297.8231,57.96,38.86754
18010132,1,1,32,37189,3023,4156,6.1,8186,378,,34414,33424,-468.5778,59.5,40.05
18010133,1,1,33,38170,2932,4475,6.1,8931,201,,36482,33781,-366.59,61.51,38.17677
18010134,1,1,34,39859,2995,4812,6.1,8931,24,,38077,34422,-411.6333,63.3,45.15
18010135,1,1,35,40243,2943,5146,6.1,9543,12,,38883,35560,-420.7695,61.7,40.08491
